GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
blueliv,dguerrar.test.blueliv.args,ArgumentsOptions,0,3,0,0,0,1,0,1,0,1
blueliv,dguerrar.test.blueliv.modules.printer.impl,PrinterImpl,0,56,3,7,0,18,3,8,0,6
blueliv,dguerrar.test.blueliv.modules.manager.impl,FileReaderImpl,19,156,8,18,2,36,6,12,0,5
blueliv,dguerrar.test.blueliv.constants,ReaderOptions,9,29,0,0,0,2,2,2,2,2
blueliv,dguerrar.test.blueliv.main,App,68,0,2,0,12,0,3,0,2,0
blueliv,dguerrar.test.blueliv.modules.validators.impl,ArgumentsValidatorImpl,0,97,3,17,0,22,3,12,0,5
blueliv,dguerrar.test.blueliv.modules.validators.impl,ReaderValidatorImpl,0,39,0,2,0,12,0,6,0,5
blueliv,dguerrar.test.blueliv.modules,GenericModule,0,8,0,0,0,2,0,1,0,1
blueliv,dguerrar.test.blueliv.dto,GenericDTO,0,3,0,0,0,1,0,1,0,1
blueliv,dguerrar.test.blueliv.dto,ArgumentsDTO,3,20,0,0,1,9,1,5,1,5
blueliv,dguerrar.test.blueliv.dto,FileReaderDTO,0,21,0,0,0,8,0,4,0,4
blueliv,dguerrar.test.blueliv.domain,Person,69,103,24,12,23,24,13,10,1,4
